#	+	GvectorName	TotalNumberReads	NumberMappedReads	NumberUnmappedReads
#	@	GenomeIndex	GenomeName	PercentageAlignmentRate
#	*	GenomeIndex	PercentageScaledEstimation	RelativeAbundanceEstimation
+	sigma_out.gvector.txt	49503334	32270610	17232724
@	162	GCF_000154425.1_ASM15442v1_genomic.fna_directory	0.04
@	163	GCF_000154065.1_ASM15406v1_genomic.fna_directory	0.04
@	164	GCF_000177075.1_ASM17707v1_genomic.fna_directory	0.04
@	165	GCF_000174195.1_ASM17419v1_genomic.fna_directory	0.04
@	166	GCF_000160055.1_ASM16005v1_genomic.fna_directory	0.04
@	167	GCF_000190575.1_ASM19057v1_genomic.fna_directory	0.04
@	168	GCF_000311925.1_ASM31192v1_genomic.fna_directory	0.04
@	169	GCF_000430525.1_ASM43052v1_genomic.fna_directory	0.04
@	170	GCF_001940285.1_ASM194028v1_genomic.fna_directory	0.03
@	171	GCF_000154525.1_ASM15452v1_genomic.fna_directory	0.03
@	172	GCF_000022965.1_ASM2296v1_genomic.fna_directory	0.03
@	173	GCF_000195635.1_ASM19563v1_genomic.fna_directory	0.03
@	174	GCF_000010145.1_ASM1014v1_genomic.fna_directory	0.03
@	175	GCF_000169235.1_ASM16923v1_genomic.fna_directory	0.03
@	176	GCF_000154825.1_ASM15482v1_genomic.fna_directory	0.03
@	177	GCF_000613345.1_ASM61334v1_genomic.fna_directory	0.03
@	178	GCF_900163655.1_ASM90016365v1_genomic.fna_directory	0.03
@	179	GCF_000193395.1_ASM19339v1_genomic.fna_directory	0.03
@	180	GCF_000158195.2_Fuso_mor_ATCC9817_V2_genomic.fna_directory	0.03
@	181	GCF_001405615.1_13414_6_47_genomic.fna_directory	0.03
@	182	GCF_000425285.1_ASM42528v1_genomic.fna_directory	0.03
@	183	GCF_000296465.1_Barn_inte_YIT_11860_V1_genomic.fna_directory	0.03
@	184	GCF_900120415.1_PRJEB18036_genomic.fna_directory	0.03
@	185	GCF_000196535.1_ASM19653v1_genomic.fna_directory	0.03
@	186	GCF_001553935.1_ASM155393v1_genomic.fna_directory	0.03
@	187	GCF_000428705.1_ASM42870v1_genomic.fna_directory	0.03
@	188	GCF_000235885.1_ASM23588v1_genomic.fna_directory	0.03
@	189	GCF_900104645.1_PRJEB16358_genomic.fna_directory	0.03
@	190	GCF_001408335.1_Draft_genome_of_Kocuria_salsicia_G1_genomic.fna_directory	0.03
@	191	GCF_000372405.1_ASM37240v1_genomic.fna_directory	0.03
@	192	GCF_001941805.1_ASM194180v1_genomic.fna_directory	0.03
@	193	GCF_000273175.1_Bact_nord_CL02T12C05_V1_genomic.fna_directory	0.02
@	194	GCF_900119495.1_PRJEB17951_genomic.fna_directory	0.02
@	195	GCF_000327285.1_ASM32728v1_genomic.fna_directory	0.02
@	196	GCF_001312505.1_ASM131250v1_genomic.fna_directory	0.02
@	197	GCF_900096945.1_IMG-taxon_2675903067_annotated_assembly_genomic.fna_directory	0.02
@	198	GCF_001683355.1_ASM168335v1_genomic.fna_directory	0.02
@	199	GCF_000021885.1_ASM2188v1_genomic.fna_directory	0.02
@	200	GCF_001553565.1_ASM155356v1_genomic.fna_directory	0.02
@	201	GCF_000020605.1_ASM2060v1_genomic.fna_directory	0.02
@	202	GCF_900142955.1_IMG-taxon_2588253509_annotated_assembly_genomic.fna_directory	0.02
@	203	GCF_001190755.1_ASM119075v1_genomic.fna_directory	0.02
@	204	GCF_000155855.1_ASM15585v1_genomic.fna_directory	0.02
@	205	GCF_000512915.1_ASM51291v1_genomic.fna_directory	0.02
@	206	GCF_000499785.1_BNeo1_genomic.fna_directory	0.02
@	207	GCF_900107815.1_IMG-taxon_2642422588_annotated_assembly_genomic.fna_directory	0.02
@	208	GCF_001404455.1_13414_6_22_genomic.fna_directory	0.02
@	209	GCF_000014445.1_ASM1444v1_genomic.fna_directory	0.02
@	210	GCF_000177555.1_ASM17755v1_genomic.fna_directory	0.02
@	211	GCF_000426585.1_ASM42658v1_genomic.fna_directory	0.02
@	212	GCF_000313565.1_ASM31356v2_genomic.fna_directory	0.02
@	213	GCF_000614145.1_ASM61414v1_genomic.fna_directory	0.02
@	214	GCF_000154205.1_ASM15420v1_genomic.fna_directory	0.02
@	215	GCF_900176325.1_IMG-taxon_2622736423_annotated_assembly_genomic.fna_directory	0.02
@	216	GCF_001885905.1_ASM188590v1_genomic.fna_directory	0.02
@	217	GCF_900106785.1_PRJEB16531_genomic.fna_directory	0.02
@	218	GCF_000312025.1_ASM31202v1_genomic.fna_directory	0.02
@	219	GCF_000427365.1_ASM42736v1_genomic.fna_directory	0.02
@	220	GCF_000155205.1_ASM15520v1_genomic.fna_directory	0.02
@	221	GCF_000011485.1_ASM1148v1_genomic.fna_directory	0.02
@	222	GCF_000146185.1_ASM14618v1_genomic.fna_directory	0.02
@	223	GCF_000423145.1_ASM42314v1_genomic.fna_directory	0.02
@	224	GCF_900104675.1_PRJEB16361_genomic.fna_directory	0.02
@	225	GCF_000173915.1_ASM17391v1_genomic.fna_directory	0.02
@	226	GCF_000469345.1_ASM46934v1_genomic.fna_directory	0.02
@	227	GCF_000613445.1_ASM61344v1_genomic.fna_directory	0.02
@	228	GCF_900163835.1_ASM90016383v1_genomic.fna_directory	0.02
@	229	GCF_000173975.1_ASM17397v1_genomic.fna_directory	0.02
@	230	GCF_000220255.1_ASM22025v1_genomic.fna_directory	0.02
@	231	GCF_000156675.1_ASM15667v1_genomic.fna_directory	0.02
@	232	GCF_000613925.1_ASM61392v1_genomic.fna_directory	0.02
@	233	GCF_000613945.1_ASM61394v1_genomic.fna_directory	0.02
@	234	GCF_000179395.2_ASM17939v2_genomic.fna_directory	0.02
@	235	GCF_000374585.1_ASM37458v1_genomic.fna_directory	0.02
@	236	GCF_001432245.1_ASM143224v1_genomic.fna_directory	0.01
@	237	GCF_001404335.1_13470_2_95_genomic.fna_directory	0.01
@	238	GCF_000185365.1_ASM18536v1_genomic.fna_directory	0.01
@	239	GCF_000740055.1_ASM74005v1_genomic.fna_directory	0.01
@	240	GCF_001050095.1_Enterococcus_massiliensis_genomic.fna_directory	0.01
@	241	GCF_900129925.1_IMG-taxon_2585428066_annotated_assembly_genomic.fna_directory	0.01
@	242	GCF_000614105.1_ASM61410v1_genomic.fna_directory	0.01
@	243	GCF_001570885.1_ASM157088v1_genomic.fna_directory	0.01
@	244	GCF_001570865.1_ASM157086v1_genomic.fna_directory	0.01
@	245	GCF_900099735.1_IMG-taxon_2642422544_annotated_assembly_genomic.fna_directory	0.01
@	246	GCF_000253395.1_ASM25339v1_genomic.fna_directory	0.01
@	247	GCF_900142165.1_IMG-taxon_2585428171_annotated_assembly_genomic.fna_directory	0.01
@	248	GCF_000421665.1_ASM42166v1_genomic.fna_directory	0.01
@	249	GCF_000307855.1_BAZO1.0_genomic.fna_directory	0.01
@	250	GCF_000307875.1_BABA1.0_genomic.fna_directory	0.01
@	251	GCF_001022195.1_ASM102219v1_genomic.fna_directory	0.01
@	252	GCF_000614025.1_ASM61402v1_genomic.fna_directory	0.01
@	253	GCF_900129135.1_IMG-taxon_2585428044_annotated_assembly_genomic.fna_directory	0.01
@	254	GCF_000614205.1_ASM61420v1_genomic.fna_directory	0.01
@	255	GCF_900120375.1_PRJEB18029_genomic.fna_directory	0.01
@	256	GCF_001642025.1_ASM164202v1_genomic.fna_directory	0.01
@	257	GCF_000265365.1_ASM26536v1_genomic.fna_directory	0.01
@	258	GCF_900128475.1_PRJEB18047_genomic.fna_directory	0.01
@	259	GCF_000422745.1_ASM42274v1_genomic.fna_directory	0.01
@	260	GCF_000312445.1_ASM31244v1_genomic.fna_directory	0.01
@	261	GCF_000184945.1_ASM18494v1_genomic.fna_directory	0.01
@	262	GCF_000312425.1_ASM31242v1_genomic.fna_directory	0.01
@	263	GCF_000956535.1_ASM95653v1_genomic.fna_directory	0.01
@	264	GCF_000214785.1_ASM21478v1_genomic.fna_directory	0.01
@	265	GCF_000382385.1_ASM38238v1_genomic.fna_directory	0.01
@	266	GCF_001277995.1_ASM127799v1_genomic.fna_directory	0.01
@	267	GCF_000197735.1_ASM19773v1_genomic.fna_directory	0.01
@	268	GCF_002000985.1_ASM200098v1_genomic.fna_directory	0.01
@	269	GCF_000238055.2_Oribacterium_sp_ACB1_V2_genomic.fna_directory	0.01
@	270	GCF_000344785.1_ASM34478v1_genomic.fna_directory	0.01
@	271	GCF_001746855.1_ASM174685v1_genomic.fna_directory	0.01
@	272	GCF_000154505.1_ASM15450v1_genomic.fna_directory	0.01
@	273	GCF_000238215.1_ASM23821v1_genomic.fna_directory	0.01
@	274	GCF_002240375.1_ASM224037v1_genomic.fna_directory	0.01
@	275	GCF_001311035.1_ASM131103v1_genomic.fna_directory	0.01
@	276	GCF_000147675.1_ASM14767v1_genomic.fna_directory	0.01
@	277	GCF_000702025.1_ASM70202v1_genomic.fna_directory	0.01
@	278	GCF_000010285.1_ASM1028v1_genomic.fna_directory	0.01
@	279	GCF_000550785.1_ASM55078v1_genomic.fna_directory	0.01
@	280	GCF_000340375.1_Lact_cate_OT_569_V1_genomic.fna_directory	0.01
@	281	GCF_000381365.1_Bact_saly_DSM_18765_V1_genomic.fna_directory	0.01
@	282	GCF_000153905.1_ASM15390v1_genomic.fna_directory	0.01
@	283	GCF_000380065.1_ASM38006v1_genomic.fna_directory	0.01
@	284	GCF_000295715.1_ASM29571v1_genomic.fna_directory	0.01
@	285	GCF_000235445.1_John_igna_ATCC_51276_V1_genomic.fna_directory	0.01
@	286	GCF_000364225.1_Euba_plex_ASF492_V1_genomic.fna_directory	0.01
@	287	GCF_000159995.1_ASM15999v1_genomic.fna_directory	0.01
@	288	GCF_000379965.1_ASM37996v1_genomic.fna_directory	0.01
@	289	GCF_001544195.1_ASM154419v1_genomic.fna_directory	0.01
@	290	GCF_000827595.2_Necropsobacter_senegalensis_FF6_genomic.fna_directory	0.01
@	291	GCF_001444445.1_ASM144444v1_genomic.fna_directory	0.01
@	292	GCF_000205165.1_ASM20516v1_genomic.fna_directory	0.01
@	293	GCF_001461035.1_ASM146103v1_genomic.fna_directory	0.01
@	294	GCF_000154465.1_ASM15446v1_genomic.fna_directory	0.01
@	295	GCF_000236865.1_ASM23686v1_genomic.fna_directory	0.01
@	296	GCF_000160535.1_ASM16053v1_genomic.fna_directory	0.01
@	297	GCF_001998865.1_ASM199886v1_genomic.fna_directory	0.01
@	298	GCF_001262015.1_ASM126201v1_genomic.fna_directory	0.01
@	299	GCF_001552975.1_ASM155297v1_genomic.fna_directory	0.01
@	300	GCF_000191545.1_ASM19154v1_genomic.fna_directory	0.01
@	301	GCF_000017005.1_ASM1700v1_genomic.fna_directory	0.01
@	302	GCF_001553215.1_ASM155321v1_genomic.fna_directory	0.01
@	303	GCF_000190535.1_ASM19053v1_genomic.fna_directory	0.01
@	304	GCF_000972575.1_ASM97257v1_genomic.fna_directory	0.01
@	305	GCF_000706685.1_ASM70668v1_genomic.fna_directory	0.01
@	306	GCF_000332735.1_ASM33273v1_genomic.fna_directory	0.01
@	307	GCF_000463355.1_ASM46335v1_genomic.fna_directory	0.01
@	308	GCF_000818035.1_ASM81803v1_genomic.fna_directory	0.01
@	309	GCF_000157955.1_ASM15795v1_genomic.fna_directory	0.01
@	310	GCF_000741695.1_Bifreu_genomic.fna_directory	0.01
@	311	GCF_000157975.1_ASM15797v1_genomic.fna_directory	0.01
@	312	GCF_900104665.1_PRJEB16357_genomic.fna_directory	0.01
@	313	GCF_001902575.1_ASM190257v1_genomic.fna_directory	0.01
@	314	GCF_000186165.1_Neis_muco_C102_V1_genomic.fna_directory	0.01
@	315	GCF_900014995.1_Draft_genome_of_Pseudoclavibacter_helvolus_G8_genomic.fna_directory	0.01
@	316	GCF_900163565.1_ASM90016356v1_genomic.fna_directory	0.01
@	317	GCF_001436225.1_ASM143622v1_genomic.fna_directory	0.01
@	318	GCF_000374045.1_ASM37404v1_genomic.fna_directory	0.01
@	319	GCF_900101835.1_IMG-taxon_2634166305_annotated_assembly_genomic.fna_directory	0.01
@	320	GCF_900059565.1_PRJEB12696_genomic.fna_directory	0.01
@	321	GCF_000158215.3_Fuso_sp_2_1_31_V3_genomic.fna_directory	0.01
@	322	GCF_001936335.1_ASM193633v1_genomic.fna_directory	0.01
@	323	GCF_000374405.1_ASM37440v1_genomic.fna_directory	0.01
@	324	GCF_000156015.1_ASM15601v1_genomic.fna_directory	0.01
*	0	32.130153812478127406	20.945249120442976931
*	1	11.055361225513253842	7.2068529872687019378
*	2	8.5909928186052617605	5.6003617607252706989
*	3	8.3360655800414384942	5.4341778529086761651
*	4	1.898885085224053082	1.2378596564845951722
*	5	2.0413593459405077191	1.3307368615354515651
*	6	1.5294723580521472073	0.99704407732378597107
*	7	1.5352672870728338861	1.0008217197428654899
*	8	1.3801492828115724532	0.89970221495368296605
*	9	1.3595478039723216668	0.88627236618744198449
*	10	1.3559191785062854052	0.88390691021127432148
*	11	1.2387732568879337158	0.80754093555517547642
*	13	0.83094194122432485372	0.54168075463145792803
*	14	0.2126493584229428857	0.13862348165109456
*	15	0.75576212488736183026	0.49267196397340323744
*	16	0.16914742244606198462	0.11026510865434058228
*	17	0.72278466842447985918	0.47117436875475304792
*	18	0.69671159278968231021	0.45417765384033831344
*	19	0.66610465917021333127	0.43422537308830305713
*	20	0.18878140930874312553	0.1230642613900069654
*	21	0.62027344624464597622	0.4043485733125962156
*	24	0.55202246480923333749	0.35985660426623983232
*	25	0.56086954166930680366	0.36562390404026018365
*	26	0.55382243703758959885	0.36102998385703899409
*	27	0.54960230609047855399	0.35827893278756656192
*	29	0.43882124329583171995	0.28606213072668801312
*	30	0.53690285006914084676	0.35000031477616677655
*	31	0.52227371173360925827	0.34046376077634948887
*	32	0.51624688953709496619	0.33653495006951800184
*	33	0.47933254052280316326	0.31247094338172409778
*	34	0.47937122709645557661	0.31249616267969249073
*	36	0.40351272182765896002	0.26304494311714177179
*	40	0.43351086667583688117	0.28260036201315102966
*	41	0.43108431394110485746	0.28101852235469548802
*	42	0.43223277888837541294	0.28176719242229214535
*	43	0.40972466915420152622	0.26709443460220816391
*	44	0.41004983372804137964	0.26730640535852534523
*	45	0.39267533850646074711	0.2559801872245610066
*	46	0.38763701202195838258	0.25269576462316517551
*	47	0.40187037239374095998	0.26197431587280933796
*	48	0.3822921701029928232	0.24921152840831573005
*	49	0.3705374512156086042	0.24154877282756212487
*	51	0.35275445418013245957	0.22995625742318537288
*	52	0.34447066472256004932	0.22455615772671985719
*	53	0.31952097884288654939	0.20829176667286780633
*	55	0.31370963862031892022	0.20450342599464615967
*	56	0.32767956324575475691	0.21361024674568557247
*	57	0.28706137458119151962	0.18713175288705899413
*	58	0.3039346586502824632	0.19813123768161539084
*	59	0.15444481352017797038	0.10068066008710424564
*	60	0.29077306546946757315	0.18955135818265606007
*	61	0.28321268014198247576	0.18462283667432705103
*	62	0.29064415785199637643	0.18946732490422185657
*	63	0.28583952192481981713	0.18633524228130393663
*	64	0.29692325156042637113	0.19356058828357725066
*	65	0.26935673495826828461	0.17559031770893740454
*	66	0.2771252575563817877	0.18065452132479703495
*	67	0.27548075273417943487	0.17958248900955112171
*	69	0.26137819220410235532	0.17038920455587147629
*	70	0.19448134636781802542	0.12677997972643159641
*	71	0.23330861450853984662	0.15209099468826547952
*	72	0.10322345152281658942	0.067290088925055446811
*	73	0.24735203297759905672	0.16124572516524318666
*	74	0.22579461508739204212	0.14719271157747365608
*	75	0.2312024981649776767	0.15071804354243514834
*	77	0.22498492783169921072	0.14666488648895670277
*	79	0.20813498135701871683	0.13568061518300206236
